CIP13;LIBELLE;PRIX NET HT;GAMME
3401099724896;FREESTYLE OPTIUM ELECTRODES BT 100;29,25;INTEGRAL TOP 500
3400934053290;MULTICROM 2% COLLY FL10ML;5,02;INTEGRAL TOP 500
3400932670925;ERYTHROGEL 4% GEL LOC TB30G;1,83;INTEGRAL TOP 500
3400934292293;NASACORT 55MCG/DOS NAS FL15ML;6,55;INTEGRAL TOP 500
3400930121467;LEVOTHYROX 150MCG CPR BT90 EXC;6,79;INTEGRAL TOP 500
3400930119761;L-THYROXIN HNG 25MCG CPR BT100;1,39;INTEGRAL TOP 500
3401097988672;CATIONORM MULT EMUL OPH 10ML T;7,21;INTEGRAL TOP 500
3400932570010;EFFERALGANMED 500MG CPR EFFV16;0,88;INTEGRAL TOP 500
4015630057009;ACCU CHEK FAST CLIX LANCETTES BTE 204;10,92;INTEGRAL TOP 500
7323190234646;MEPILEX B FLEX EM 5CMX5CM 10 T ref 581220;3,40;INTEGRAL TOP 500
3400933217334;KALEORID LP 600MG CPR BT30;1,22;INTEGRAL TOP 500
3400932913282;BISEPTINE SOL LOC FL PULV100ML;1,73;INTEGRAL TOP 500
3400935291783;EFFERALGANMED 1000MG C.EFFV T8;0,88;INTEGRAL TOP 500
3400930819968;PERNAZENE 0,05% NAS FP12ML;1,03;INTEGRAL TOP 500
3400933640620;ADVILMED 20MG/1ML BUV FL200ML;2,20;INTEGRAL TOP 500
3400930218600;FIXAPOST COLLY FL M-DOS6ML 1;21,06;INTEGRAL TOP 500
3400930214077;L-THYROXIN HNG 88MCG CPR BT100;4,42;INTEGRAL TOP 500
3400930158166;LEVOTHYROX 137MCG CPR BT30;2,13;INTEGRAL TOP 500
3400931762775;EFFEDERM 0,05% CR TB30G;1,96;INTEGRAL TOP 500
3400938673081;INEXIUM 10MG BUV GLE SACH 28;14,30;INTEGRAL TOP 500
3400934999161;DOLIPRANE 200MG PDR SACH 12;1,12;INTEGRAL TOP 500
3400930162286;SLENYTO 5MG CPR LP BT30;89,10;INTEGRAL TOP 500
3400933186654;NIFLUGEL 2,5% GEL PERCUT TB60G;1,75;INTEGRAL TOP 500
3400930244210;MENQUADFI INJ FL0,5ML 1 +NEC;34,77;INTEGRAL TOP 500
3400930279021;NILEMDO 180MG CPR BT30;50,90;INTEGRAL TOP 500
3400930264140;LUZADEL 266ÁG CAPS MOL BT3;2,61;INTEGRAL TOP 500
3400930305935;CHLORHEXIDINE DIGLUCONATE HIBI 40MG F125ML1;4,12;INTEGRAL TOP 500
3400933978839;MYDRIATICUM 2MG/0,4ML CY DOS20;5,37;INTEGRAL TOP 500
3400937522496;PROFEMIGR 150MG CPR BT10;2,02;INTEGRAL TOP 500
3400933111434;MOXYDAR BUV CPR BT30;2,69;INTEGRAL TOP 500
3400927562396;CODOLIPRANE 500/30MG CPR BT16;1,38;INTEGRAL TOP 500
3400930018514;XULTOPHY INJ CART.3ML STYLO 5;135,76;INTEGRAL TOP 500
3400935693099;COUMADINE 5MG CPR BT30;4,25;INTEGRAL TOP 500
3400933829247;OESTRODOSE 0,06% GEL LOC FL80G;4,30;INTEGRAL TOP 500
3400930059876;SYMBICORT RAPI 200/6MCG 120DOS1;25,28;INTEGRAL TOP 500
3400930317815;WEGOVY 0,5MG FLEX INJ STY SC 3ML 1;131,19;INTEGRAL TOP 500
3400926649975;FORXIGA 10MG CPR BT30 D.U;32,37;INTEGRAL TOP 500
3400927561627;GANFORT 0,3MG+5MG/ML CY DOS 30;7,40;INTEGRAL TOP 500
3400939501109;ONYTEC 80MG/G VERN ONGL 6,6ML;13,10;INTEGRAL TOP 500
3400933081065;TOPREC 25MG CPR BT20;1,94;INTEGRAL TOP 500
3400938730715;NICOPASS 2,5MG S/S MENT PAST96;7,23;INTEGRAL TOP 500
3400930088746;OROCAL D3 500MG/1000UI C.CRQ30;4,62;INTEGRAL TOP 500
3400932172146;NEOSYNEPHRINE 10% FAURE CY 5ML;1,73;INTEGRAL TOP 500
3400931153764;XYLOCAINE VISQ.2% GEL TB100G 1;1,73;INTEGRAL TOP 500
3400936158832;DAFALGAN 1000MG CPR BT8;0,88;INTEGRAL TOP 500
3400935533432;INEXIUM 20MG CPR BT28;5,47;INTEGRAL TOP 500
3400933808884;AMYCOR ONYCHOSET POM TB10G;15,74;INTEGRAL TOP 500
3400930018071;SYNJARDY 12,5MG/1000MG CPR60DU;32,39;INTEGRAL TOP 500
3400934060335;AIROMIR A-H 100MCG INHAL 200DOS;6,69;INTEGRAL TOP 500
3400938706871;TIMOFEROL GELU BT90;3,82;INTEGRAL TOP 500
3400930292952;MOUNJARO 12,5MG INJ STYL KWIKPEN 1;389,08;INTEGRAL TOP 500
3400933229160;OROCAL 500MG CPR CROQ/SUC FL60;4,62;INTEGRAL TOP 500
3700567700890;VERSOL CHLOR NA 0,9% 1000ML FL;1,75;INTEGRAL TOP 500
3400933797447;CELLUVISC 4MG COLLY UNIDOS 30;2,46;INTEGRAL TOP 500
3400932805433;TOBREX 0,3% COLLY FL5ML;1,23;INTEGRAL TOP 500
3400932679041;DAFALGAN 500MG GELU BT16;0,88;INTEGRAL TOP 500
3400930494783;HEXAQUINE CPR BT18;6,95;INTEGRAL TOP 500
3400935533951;INEXIUM 40MG CPR BT28;5,47;INTEGRAL TOP 500
3400935651518;NAABAK COLLY UNIDOS 36;3,41;INTEGRAL TOP 500
3400934428043;OROCAL D3 500MG/400UI CPR FL60;4,62;INTEGRAL TOP 500
3400930199367;REMSIMA 120MG INJ STY1ML 2;280,75;INTEGRAL TOP 500
3400927999703;LIPOROSA 10MG/10MG GELU BT30;13,40;INTEGRAL TOP 500
3400933595982;BREXIN 20MG CPR BT14;4,47;INTEGRAL TOP 500
3400930119303;OPTICRON COLLY UNIDOS 30;2,86;INTEGRAL TOP 500
3400933878733;CACIT VIT D3 1000 GLE EFFV S30;4,62;INTEGRAL TOP 500
3400933069988;IMPORTAL 10G BUV PDR SACH 20;2,61;INTEGRAL TOP 500
3400931813736;URBANYL 10MG CPR BT30;1,91;INTEGRAL TOP 500
3400930186947;DAFALGAN 1000MG GELU BT8;0,88;INTEGRAL TOP 500
3400928000125;LIPOROSA 10MG/10MG GELU BT90;38,20;INTEGRAL TOP 500
3401047888649;CATIONORM EMUL OPHT UNID 30 T;7,72;INTEGRAL TOP 500
3401074936030;VISMED GTT OCUL LUBR UNID20  T - RP 4028694001;5,87;INTEGRAL TOP 500
3400930313251;ASARED 75MG CPR BT90;3,84;INTEGRAL TOP 500
3400935845856;ACIDE FOLIQUE CCD 0,4MG CPR 30;2,41;INTEGRAL TOP 500
3400933275815;DAFALGAN CODEINE CPR BT16;1,38;INTEGRAL TOP 500
3400932460496;VOLTARENE LP 100MG CPR BT15;3,14;INTEGRAL TOP 500
3400931489962;TEMESTA 2,5MG CPR BT30;1,50;INTEGRAL TOP 500
3400935539526;LIBRAX CPR BT30;4,68;INTEGRAL TOP 500
3400930066546;MODOPAR 62,5 GELU FL60;2,66;INTEGRAL TOP 500
3400930250402;QUVIVIQ 25MG CPR BT30;50,56;INTEGRAL TOP 500
3400930162262;SLENYTO 1MG CPR LP BT60;34,61;INTEGRAL TOP 500
3400932731121;CUTACNYL 2,5% GEL LOC TB40G;1,69;INTEGRAL TOP 500
3400930038345;DUALKOPT 20+5MG/ML CY FL10ML 1;13,88;INTEGRAL TOP 500
3400933220754;CODOLIPRANE AD. 400/20MG CPR16;1,38;INTEGRAL TOP 500
3400932606641;VERATRAN 5MG CPR BT30;1,01;INTEGRAL TOP 500
3400928000873;LIPOROSA 20MG/10MG GELU BT90;38,20;INTEGRAL TOP 500
3400933443498;OCUFEN 0,12MG/0,4ML CY DOS 20;2,36;INTEGRAL TOP 500
3400933047467;DOLIPRANE AD. SUP BT8;1,15;INTEGRAL TOP 500
3400935952707;CELLCEPT 500MG CPR BT50;44,84;INTEGRAL TOP 500
3400934313219;HELIKIT 75MG BUV FL+SACH 1+KIT;26,16;INTEGRAL TOP 500
3400930081136;EPIDUO 0,3/2,5% GEL M-DOS30G 1;20,66;INTEGRAL TOP 500
3400932227709;LOXAPAC 25MG CPR BT30;3,02;INTEGRAL TOP 500
3400936111066;NEO-MERCAZOLE 5MG CPR TB50;2,42;INTEGRAL TOP 500
3400931157557;EXACYL 1G/10ML BUV AMP 5;1,74;INTEGRAL TOP 500
3401077999575;ALGOSTERIL COMP STER 10X10 bte 16;30,09;INTEGRAL TOP 500
3400937196482;LOXEN LP 50MG GELU BT180;28,45;INTEGRAL TOP 500
3400927566479;ULTIBRO BREEZ.85/43 GELU30+INH;24,67;INTEGRAL TOP 500
3400932955336;TROPHICREME 0,1% CR VAG TB30G;3,81;INTEGRAL TOP 500
3400933851248;LOCATOP 0,1% CR TB30G;1,85;INTEGRAL TOP 500
3400928000415;LIPOROSA 20MG/10MG GELU BT30;13,40;INTEGRAL TOP 500
3400930104934;SELEXID 200MG CPR BT20;7,16;INTEGRAL TOP 500
3400933969554;CALTRATE D3 600/400 CPR FL60;4,62;INTEGRAL TOP 500
3400927946424;TIMOFEROL 50MG CPR BT30;1,42;INTEGRAL TOP 500
3401096413151;ALGOSTERIL MECHES PLATE 5X40;61,76;INTEGRAL TOP 500
3400921923056;XARELTO 20MG CPR PELLIC BT28;20,49;INTEGRAL TOP 500
3400935899675;TRIAFEMI CPR BT21 X3;27,30;INTEGRAL TOP 500
3400930146064;FLECTOR 50MG CPR BT21;2,16;INTEGRAL TOP 500
3400930117644;XTANDI 40MG CPR BT112;2646,40;INTEGRAL TOP 500
3400930149997;OEDIEN 2MG/0,03MG CPR BT28 X3;23,96;INTEGRAL TOP 500
3400933127343;CALTRATE 600MG CPR PELL FL60;4,62;INTEGRAL TOP 500
3400930311462;CAPVAXIVE INJ SR0,5 ML 1;50,28;INTEGRAL TOP 500
3400930225035;LAMICTAL 100MG CPR DISP BT30+S;10,43;INTEGRAL TOP 500
3400930152867;CACIT VIT D3 500/1000 CPR BT30;4,62;INTEGRAL TOP 500
3400933922368;CALCIDOSE 500 BUV PDR SACH 60;4,62;INTEGRAL TOP 500
3400933386856;FONX 1% CR TB15G;2,48;INTEGRAL TOP 500
3400932309245;DIPROSALIC POM DERM TB30G;2,25;INTEGRAL TOP 500
3400935179043;MYCOSTATINE BUV SUSP FL24ML;1,63;INTEGRAL TOP 500
3400931705246;RIVOTRIL 2,5MG/ML BUV GTT 20ML;1,21;INTEGRAL TOP 500
3400933797508;CELLUVISC 4MG COLLY UNIDOS 90;6,85;INTEGRAL TOP 500
3400930219393;SAWIS 2MG CPR BT84;29,40;INTEGRAL TOP 500
3400934767203;ALLERGODIL 0,05% COLLY FP6ML;4,18;INTEGRAL TOP 500
3400932082506;HALDOL 5MG CPR BT30;2,08;INTEGRAL TOP 500
3400930010693;BACTRIM CPR BT20;1,84;INTEGRAL TOP 500
3400930243442;KENACORT RET.40MG INJ FL1ML 1;1,67;INTEGRAL TOP 500
3400934217135;INNOHEP 4500 INJ SRG0,45ML 10;39,79;INTEGRAL TOP 500
3400930066560;MODOPAR 125 GELU FL60;4,69;INTEGRAL TOP 500
5060361081891;XAILIN NIGHT POM TB5GR 1;3,78;INTEGRAL TOP 500
3400930852446;PONSTYL 250MG GELU BT20;2,42;INTEGRAL TOP 500
3400934105432;IOPIDINE 1% COLLY UNIDOS 2;9,02;INTEGRAL TOP 500
3662042001949;BLEPHAGEL T POMP 30G;9,42;INTEGRAL TOP 500
3400930023341;LEVOTHYROX 200MCG CPR BT30 EXC;3,05;INTEGRAL TOP 500
3400935479341;PROVAMES 2MG CPR BT28;1,40;INTEGRAL TOP 500
3400930425138;GARDENAL 50MG CPR BT30;0,89;INTEGRAL TOP 500
3400936992948;TYPHIM VI VAC SRG+1AIG 05ML;34,73;INTEGRAL TOP 500
3400934748561;IMOVANE 7,5MG CPR BT14;1,61;INTEGRAL TOP 500
0300651507645;SYSTANE ULT GTT OCUL LUB10ML T;6,90;INTEGRAL TOP 500
3400937054454;RUBOZINC 15MG GELU BT60;5,88;INTEGRAL TOP 500
3400938112658;L-THYROXINE SERB BUV GTT 15ML;4,18;INTEGRAL TOP 500
3400931840879;ADEPAL CPR 21 X3;3,23;INTEGRAL TOP 500
3400922382203;NICOBION 500MG CPR BT30;13,39;INTEGRAL TOP 500
3400933323523;SKENAN LP 10MG GELU BT14;3,04;INTEGRAL TOP 500
3400933525385;DEROXAT 20MG CPR BT14;1,98;INTEGRAL TOP 500
3400930223017;TRIMBOW 172MCG/5MCG/9MCG F120DOS1;46,00;INTEGRAL TOP 500
3400930195642;UVEDOSE 50000UI BUV AMP2ML 1;0,95;INTEGRAL TOP 500
3401021104543;BD A MICROF ULTRA 5MM STYL100 T - RP 038301751;8,58;INTEGRAL TOP 500
3400939901152;PREVENAR 13 INJ SRG0,5ML 1 A/A;43,36;INTEGRAL TOP 500
3662042008733;OFTAMAC PLUS CAPS 60;24,72;INTEGRAL TOP 500
3401044533429;AEQUASYAL SPRAY BUC FL 40ML T;5,93;INTEGRAL TOP 500
3400934951374;ACTISKENAN 5MG GELU BT14;1,63;INTEGRAL TOP 500
3400930202074;VYNDAQEL 61MG CAPS MOL BT30;6296,37;INTEGRAL TOP 500
3400930771440;OXYPLASTINE 46% POM TB135G 1;9,51;INTEGRAL TOP 500
3400936344617;XYLOCAINE 2% GEL SRG10G 1;2,43;INTEGRAL TOP 500
3400930425367;GARDENAL 100MG CPR BT20;1,38;INTEGRAL TOP 500
3400930225189;LAMICTAL 200MG CPR DISP BT30+S;10,43;INTEGRAL TOP 500
3400930139745;BEVITINE 250MG CPR BT20;3,02;INTEGRAL TOP 500
3400936395534;CREON 25000U GELU FL60;16,94;INTEGRAL TOP 500
3400930221907;TARDYFERON 80MG CPR BT90;6,23;INTEGRAL TOP 500
3400936909045;BIOTINE BAYER 0,5% INJ A.1ML 6;6,88;INTEGRAL TOP 500
3400930225127;LAMICTAL 50MG CPR DISP BT30 +S;7,17;INTEGRAL TOP 500
3400932918195;TARDYFERON B9 CPR BT30;2,32;INTEGRAL TOP 500
3400934318580;EDEX 20MCG/1ML INJ CART+AIG 2;15,50;INTEGRAL TOP 500
3400930107089;BEPANTHENE 500MG INJ AMP2ML 6;7,17;INTEGRAL TOP 500
3400930084168;ACTONEL 35MG CPR GR BT12;39,66;INTEGRAL TOP 500
3400941908361;ZOELY 2,5MG/1,5MG CPR BT28 X3;32,72;INTEGRAL TOP 500
3400934188695;PRINCI-B CPR BT30;10,50;INTEGRAL TOP 500
3400927929625;SIMBRINZA COLLY  FL5ML 1;6,17;INTEGRAL TOP 500
3400931949152;ORACILLINE 1MN CPR BT12;3,33;INTEGRAL TOP 500
3400930276037;EUTHYROX 75MCG CPR BT50;1,97;INTEGRAL TOP 500
3400932703616;ASPEGIC ENF 250MG PDR SACH 20;1,23;INTEGRAL TOP 500
3700567700876;VERSOL CHLOR NA 0,9%  500ML FL;1,23;INTEGRAL TOP 500
3400930173855;TIORFAN 4MG/ML BB/ENF BUV180ML;5,39;INTEGRAL TOP 500
3400939111568;THYROZOL 5MG CPR BT30;1,50;INTEGRAL TOP 500
3400930262597;VABYSMO 120MG/ML INJ FL0,24ML1;336,32;INTEGRAL TOP 500
3400930219676;KETAZED 0,25MG/ML COLLY FL10ML;6,78;INTEGRAL TOP 500
3400936162792;MESTINON 60MG CPR FL20;3,92;INTEGRAL TOP 500
3400932606702;VERATRAN 10MG CPR BT30;1,66;INTEGRAL TOP 500
3400930040034;INNOVAIR 200/6MCG/DOS FL120DOS;22,76;INTEGRAL TOP 500
3400930915233;RIFAMYCINE CHIBR COLLY FL10ML;2,00;INTEGRAL TOP 500
3400932758265;DIPROLENE 0,05% POM TB15G;1,42;INTEGRAL TOP 500
7333350070717;MEPILEX B FL OV PAN7,8X10 16 T;11,89;INTEGRAL TOP 500
3400933502614;OCUFEN 0,12MG/0,4ML CY DOS 50;5,47;INTEGRAL TOP 500
3400934307065;NATISPRAY 0,30MG BUC FL300DOS;4,37;INTEGRAL TOP 500
3400937483773;EUTHYRAL 100MCG/20MCG CPR BT50;2,04;INTEGRAL TOP 500
3400931303299;TERCIAN 4% BUV GTT FV30ML;4,38;INTEGRAL TOP 500
3400927611117;EPIDUO 0,1/2,5% GEL M-DOS30G 1;18,75;INTEGRAL TOP 500
3400932613045;DERMOVAL GEL LOC FL20ML;2,02;INTEGRAL TOP 500
3400935291035;DAFALGAN 1000MG CPR EFFV TB8;0,88;INTEGRAL TOP 500
3400936224520;OVITRELLE 250MCG INJ SRG0,5ML 1;21,83;INTEGRAL TOP 500
